name,price
Play Station 5 Slim De Disco 1TB + Control,"$2.299.990,00"
POCO F7 Pro 512GB + 12 RAM,"De $2.499.990,00"
POCO F7 Ultra 256GB + 12 RAM,"$2.999.990,00"
POCO X5 5G 256GB,"$899.990,00"
POCO X7  5G 512GB,"$1.249.990,00"
POCO X7 Pro 5G 512GB,"$1.599.990,00"
Power bank - Samsung Wireless Tipo - C,"$329.990,00"
Protector de cargador 20W - iPhone,"$19.990,00"
Protector de Hidrogel para Celular,"De $19.990,00"
Protectores de Cámara - Variedad de colores,"$19.990,00"
Samsung Galaxy A06 128GB,"$399.990,00"
Samsung Galaxy A16 256GB Nuevo,"$739.990,00"
Samsung Galaxy A26 5G 256GB,"$1.149.990,00"
Samsung Galaxy A36 5G 256GB,"$1.549.990,00"
Samsung Galaxy A55 5G 256GB Nuevo,"$1.549.990,00"
Samsung Galaxy A56 5G 256GB,"$1.819.990,00"
Samsung Galaxy FIT3,"$239.990,00"
Samsung Galaxy S24 Ultra 256GB EXH,"$3.569.990,00"
Samsung Galaxy S24 Ultra 512GB EXH,"$3.789.990,00"
Samsung Galaxy S24 Ultra 512GB Nuevo,"$4.049.990,00"
Samsung Galaxy S25 5G 128GB Nuevo,"$3.499.990,00"
Samsung Galaxy S25 5G 256GB Nuevo,"$3.599.990,00"
Samsung Galaxy S25 Ultra 256GB Nuevo,"$4.649.990,00"
Samsung Galaxy S25 Ultra 512GB Nuevo,"$5.019.990,00"
Samsung Galaxy S25 Ultra 512GB Open Box,"$4.699.990,00"
Scooter Patineta Electrica Fuller Machinery,"$1.199.990,00"
Silicone Case Magsafe para iPhone series 14,"$29.990,00"
Silicone New Fashion Magsafe,"$39.990,00"
Smart Watch Ultra 2X - A PLUS,"$349.990,00"
Smartwatch G-TIDE S1 Lite,"$199.990,00"
Smartwatch H9 Plus + 3 Manillas intercambiables,"$149.990,00"
Smartwatch NEXO Movisun,"$74.990,00"
Smartwatch SK1 - Mobulaa,"$139.990,00"
Smartwatch SK10 - Mobulaa,"$159.990,00"
Smartwatch SK8 - Mobulaa,"$199.990,00"
Super Fast Wireless Charge Duo / Samsung,"$299.990,00"
Tarjeta Micro SD NIA - 32GB,"$29.990,00"
Vaporizadores Fruty Stik Prime,"$39.990,00"
Vidrio Atomic Anti espía para iPhone,"$29.990,00"
Vidrio Atomic Armor para iPhone,"$19.990,00"
Vidrio Atomic Volcano Matte,"$29.990,00"
Xiaomi 14T Pro 512GB Nuevo,"$2.619.990,00"
Xiaomi Note 11 Pro Plus 5G 256GB Nuevo,"$1.099.990,00"
